sample,condition,replicate,replicate_qpcr,ct,dilution_factor,standard_quantity
standard,S1,r1,r1,10.193,1,300000000
standard,S1,r1,r2,10.094,1,300000000
standard,S2,r1,r1,13.684,10,300000000
standard,S2,r1,r2,13.644,10,300000000
standard,S3,r1,r1,19.427,100,300000000
standard,S3,r1,r2,19.118,100,300000000
standard,S4,r1,r1,24.124,1000,300000000
standard,S4,r1,r2,24.23,1000,300000000
standard,S5,r1,r1,27.414,10000,300000000
standard,S5,r1,r2,27.483,10000,300000000
standard,S6,r1,r1,28.677,100000,300000000
standard,S6,r1,r2,28.644,100000,300000000
standard,S7,r1,r1,32.813,1000000,300000000
standard,S7,r1,r2,32.34,1000000,300000000
standard,S8,r1,r1,34.72,10000000,300000000
standard,S8,r1,r2,35.328,10000000,300000000
MS2,nuclease+DTT,r1,r1,14.022,1330,
MS2,nuclease+DTT,r1,r2,14.079,1330,
MS2,nuclease+DTT,r1,r3,13.841,1330,
MS2,nuclease+DTT,r2,r1,14.175,1330,
MS2,nuclease+DTT,r2,r2,14.348,1330,
MS2,nuclease+DTT,r2,r3,14.382,1330,
MS2,nuclease+DTT,r3,r1,13.226,1330,
MS2,nuclease+DTT,r3,r2,13.111,1330,
MS2,nuclease+DTT,r3,r3,13.362,1330,
MS2,nuclease,r1,r1,13.286,1330,
MS2,nuclease,r1,r2,13.491,1330,
MS2,nuclease,r1,r3,13.243,1330,
MS2,nuclease,r2,r1,13.181,1330,
MS2,nuclease,r2,r2,13.01,1330,
MS2,nuclease,r2,r3,13.071,1330,
MS2,nuclease,r3,r1,14.325,1330,
MS2,nuclease,r3,r2,14.127,1330,
MS2,nuclease,r3,r3,14.096,1330,
MS2,none,r1,r1,14.289,1330,
MS2,none,r1,r2,14.701,1330,
MS2,none,r1,r3,14.183,1330,
MS2,none,r2,r1,13.833,1330,
MS2,none,r2,r2,13.843,1330,
MS2,none,r2,r3,13.802,1330,
MS2,none,r3,r1,13.333,1330,
MS2,none,r3,r2,13.906,1330,
MS2,none,r3,r3,13.368,1330,
LB,nuclease+DTT,r1,r1,25.764,1330,
LB,nuclease+DTT,r1,r2,25.995,1330,
LB,nuclease+DTT,r1,r3,25.788,1330,
LB,nuclease+DTT,r2,r1,24.363,1330,
LB,nuclease+DTT,r2,r2,24.338,1330,
LB,nuclease+DTT,r2,r3,24.376,1330,
LB,nuclease+DTT,r3,r1,25.937,1330,
LB,nuclease+DTT,r3,r2,25.936,1330,
LB,nuclease+DTT,r3,r3,25.878,1330,
LB,nuclease,r1,r1,25.857,1330,
LB,nuclease,r1,r2,25.714,1330,
LB,nuclease,r1,r3,25.702,1330,
LB,nuclease,r2,r1,28.18,1330,
LB,nuclease,r2,r2,28.566,1330,
LB,nuclease,r2,r3,27.991,1330,
LB,nuclease,r3,r1,29.076,1330,
LB,nuclease,r3,r2,28.684,1330,
LB,nuclease,r3,r3,29.116,1330,
LB,none,r1,r1,26.999,1330,
LB,none,r1,r2,26.922,1330,
LB,none,r1,r3,27.233,1330,
LB,none,r2,r1,26.43,1330,
LB,none,r2,r2,26.399,1330,
LB,none,r2,r3,26.71,1330,
LB,none,r3,r1,26.398,1330,
LB,none,r3,r2,27.252,1330,
LB,none,r3,r3,26.329,1330,
