"","sample","condition","replicate","replicate_qpcr","ct","dilution_factor","standard_quantity","sample_id","remove","lncopies","copies"
"17","MS2","nuclease+DTT","r1","r1",13.9806666666667,1330,NA,"MS2_nuclease+DTT_r1",FALSE,7.74487211550627,55574058.7061568
"20","MS2","nuclease+DTT","r2","r1",14.3016666666667,1330,NA,"MS2_nuclease+DTT_r2",FALSE,7.65504047487281,45189805.7882911
"23","MS2","nuclease+DTT","r3","r1",13.233,1330,NA,"MS2_nuclease+DTT_r3",FALSE,7.95410614452065,89971745.1715193
"26","MS2","nuclease","r1","r1",13.34,1330,NA,"MS2_nuclease_r1",FALSE,7.9241622643095,83977369.035544
"29","MS2","nuclease","r2","r1",13.0873333333333,1330,NA,"MS2_nuclease_r2",FALSE,7.99487086617882,98825920.0382243
"32","MS2","nuclease","r3","r1",14.1826666666667,1330,NA,"MS2_nuclease_r3",FALSE,7.68834254725718,48791317.7066064
"35","MS2","none","r1","r1",14.391,1330,NA,"MS2_none_r1",FALSE,7.63004059980555,42661939.9241697
"38","MS2","none","r2","r1",13.826,1330,NA,"MS2_none_r2",FALSE,7.78815548129435,61398177.676939
"41","MS2","none","r3","r1",13.5356666666667,1330,NA,"MS2_none_r3",FALSE,7.86940507526293,74029544.1700315
"44","LB","nuclease+DTT","r1","r1",25.849,1330,NA,"LB_nuclease+DTT_r1",FALSE,4.42352677308228,26517.1455901385
"47","LB","nuclease+DTT","r2","r1",24.359,1330,NA,"LB_nuclease+DTT_r2",FALSE,4.84050230125627,69263.1599570552
"50","LB","nuclease+DTT","r3","r1",25.917,1330,NA,"LB_nuclease+DTT_r3",FALSE,4.40449701743407,25380.3155568832
"53","LB","nuclease","r1","r1",25.7576666666667,1330,NA,"LB_nuclease_r1",FALSE,4.44908634684507,28124.5995079721
"56","LB","nuclease","r2","r1",28.2456666666667,1330,NA,"LB_nuclease_r2",FALSE,3.75282116959882,5660.06175429605
"59","LB","nuclease","r3","r1",28.9586666666667,1330,NA,"LB_nuclease_r3",FALSE,3.55328858464039,3575.10321521042
"62","LB","none","r1","r1",27.0513333333333,1330,NA,"LB_none_r1",FALSE,4.08705457394948,12219.532025775
"65","LB","none","r2","r1",26.513,1330,NA,"LB_none_r2",FALSE,4.23770680616447,17286.4894780169
"68","LB","none","r3","r1",26.6596666666667,1330,NA,"LB_none_r3",FALSE,4.19666223515853,15727.5920307249
